|id|state|city|location|value
0|0|District of Columbia|Washington|20020|832
1|1|District of Columbia|Washington|20001|801
2|2|District of Columbia|Washington|20011|290
3|3|District of Columbia|Washington|20016|443
4|4|District of Columbia|Washington|20003|343
5|5|District of Columbia|Washington|20012|490
6|6|District of Columbia|Washington|20003|695
7|7|District of Columbia|Washington|20002|460
8|8|District of Columbia|Washington|20001|248
9|9|District of Columbia|Washington|20011|138
10|10|District of Columbia|Washington|20007|400
11|11|District of Columbia|Washington|20011|803
12|12|District of Columbia|Washington|20032|411
13|13|District of Columbia|Washington|20001|255
14|14|District of Columbia|Washington|20003|155
15|15|District of Columbia|Washington|20037|970
16|16|District of Columbia|Washington|20008|147
17|17|District of Columbia|Washington|20010|339
18|18|District of Columbia|Washington|20018|412
19|19|District of Columbia|Washington|20009|201
20|20|District of Columbia|Washington|20011|787
21|21|District of Columbia|Washington|20011|213
22|22|District of Columbia|Washington|20002|504
23|23|District of Columbia|Washington|20017|281
24|24|District of Columbia|Washington|20001|340
25|25|District of Columbia|Washington|20017|249
26|26|District of Columbia|Washington|20001|420
27|27|District of Columbia|Washington|20019|764
28|28|District of Columbia|Washington|20015|454
29|29|District of Columbia|Washington|20007|494
30|30|District of Columbia|Washington|20001|480
31|31|District of Columbia|Washington|20002|507
32|32|District of Columbia|Washington|20011|173
33|33|District of Columbia|Washington|20011|736
34|34|District of Columbia|Washington|20003|317
35|35|District of Columbia|Washington|20020|667
36|36|District of Columbia|Washington|20020|242
37|37|District of Columbia|Washington|20012|813
38|38|District of Columbia|Washington|20007|112
39|39|District of Columbia|Washington|20032|315
40|40|District of Columbia|Washington|20020|371
41|41|District of Columbia|Washington|20002|786
42|42|District of Columbia|Washington|20002|434
43|43|District of Columbia|Washington|20009|372
44|44|District of Columbia|Washington|20002|563
45|45|District of Columbia|Washington|20006|285
46|46|District of Columbia|Washington|20019|841
47|47|District of Columbia|Washington|20002|208
48|48|District of Columbia|Washington|20002|831
49|49|District of Columbia|Washington|20032|638
50|50|District of Columbia|Washington|20002|106
51|51|District of Columbia|Washington|20018|322
52|52|District of Columbia|Washington|20007|206
53|53|District of Columbia|Washington|20020|425
54|54|District of Columbia|Washington|20001|427
55|55|District of Columbia|Washington|20010|179
56|56|District of Columbia|Washington|20017|315
57|57|District of Columbia|Washington|20007|703
58|58|District of Columbia|Washington|20024|648
59|59|District of Columbia|Washington|20011|257
60|60|District of Columbia|Washington|20032|599
61|61|District of Columbia|Washington|20017|129
62|62|District of Columbia|Washington|20011|141
63|63|District of Columbia|Washington|20019|693
64|64|District of Columbia|Washington|20016|413
65|65|District of Columbia|Washington|20018|368
66|66|District of Columbia|Washington|20001|535
67|67|District of Columbia|Washington|20017|667
68|68|District of Columbia|Washington|20011|668
69|69|District of Columbia|Washington|20018|637
70|70|District of Columbia|Washington|20001|445
71|71|District of Columbia|Washington|20024|100
72|72|District of Columbia|Washington|20020|392
73|73|District of Columbia|Washington|20011|305
74|74|District of Columbia|Washington|20010|998
75|75|District of Columbia|Washington|20017|648
76|76|District of Columbia|Washington|20005|877
77|77|District of Columbia|Washington|20002|534
78|78|District of Columbia|Washington|20008|378
79|79|District of Columbia|Washington|20373|921
80|80|District of Columbia|Washington|20002|699
81|81|District of Columbia|Washington|20016|227
82|82|District of Columbia|Washington|20002|499
83|83|District of Columbia|Washington|20019|175
84|84|District of Columbia|Washington|20017|415
85|85|District of Columbia|Washington|20009|383
86|86|District of Columbia|Washington|20007|629
87|87|District of Columbia|Washington|20016|905
88|88|District of Columbia|Washington|20002|639
89|89|District of Columbia|Washington|20017|641
90|90|District of Columbia|Washington|20003|802
91|91|District of Columbia|Washington|20007|285
92|92|District of Columbia|Washington|20019|532
93|93|District of Columbia|Washington|20011|683
94|94|District of Columbia|Washington|20011|772
95|95|District of Columbia|Washington|20002|889
96|96|District of Columbia|Washington|20012|107
97|97|District of Columbia|Washington|20020|129
98|98|District of Columbia|Washington|20037|241
99|99|District of Columbia|Washington|20001|962
100|100|District of Columbia|Washington|20012|540
101|101|District of Columbia|Washington|20019|824
102|102|District of Columbia|Washington|20020|211
103|103|District of Columbia|Washington|20373|742
104|104|District of Columbia|Washington|20011|798
105|105|District of Columbia|Washington|20009|933
106|106|District of Columbia|Washington|20012|535
107|107|District of Columbia|Washington|20003|588
108|108|District of Columbia|Washington|20018|137
109|109|District of Columbia|Washington|20001|227
110|110|District of Columbia|Washington|20010|590
111|111|District of Columbia|Washington|20005|668
112|112|District of Columbia|Washington|20019|514
113|113|District of Columbia|Washington|20002|933
114|114|District of Columbia|Washington|20020|361
115|115|District of Columbia|Washington|20020|472
116|116|District of Columbia|Washington|20003|564
117|117|District of Columbia|Washington|20019|244
118|118|District of Columbia|Washington|20018|545
119|119|District of Columbia|Washington|20009|988
120|120|District of Columbia|Washington|20020|202
121|121|District of Columbia|Washington|20012|560
122|122|District of Columbia|Washington|20002|964
123|123|District of Columbia|Washington|20012|226
124|124|District of Columbia|Washington|20012|979
125|125|District of Columbia|Washington|20019|511
126|126|District of Columbia|Washington|20019|678
127|127|District of Columbia|Washington|20015|863
128|128|District of Columbia|Washington|20008|752
129|129|District of Columbia|Washington|20015|993
130|130|District of Columbia|Washington|20002|293
131|131|District of Columbia|Washington|20008|117
132|132|District of Columbia|Washington|20003|671
133|133|District of Columbia|Washington|20011|781
134|134|District of Columbia|Washington|20011|687
135|135|District of Columbia|Washington|20016|559
136|136|District of Columbia|Washington|20020|102
137|137|District of Columbia|Washington|20011|986
138|138|District of Columbia|Washington|20003|315
139|139|District of Columbia|Washington|20001|263
140|140|District of Columbia|Washington|20008|783
141|141|District of Columbia|Washington|20015|722
142|142|District of Columbia|Washington|20002|491
143|143|District of Columbia|Washington|20019|685
144|144|District of Columbia|Washington|20011|604
145|145|District of Columbia|Washington|20007|939
146|146|District of Columbia|Washington|20010|868
